"pval";"q2";"q1";"q3";"q1_90";"q3_90";"With_cover";"Grazing_intensity";"ID_grazing";"Stat";"Driver"
"1";0;-0.190056211752128;-0.284406298572843;-0.0829635499068918;-0.265801130473785;-0.102030201577586;FALSE;"binary";"grazed";"perim_area_scaling";"Grazing"
"2";0.062;0.0305394879366534;-0.00153742568304867;0.0630719876603846;0.00416549400231325;0.0570449313527299;FALSE;"binary";"all";"perim_area_scaling";"Aridity"
"3";0.038;-0.0371953265821634;-0.0681296133963077;-0.00195937688327543;-0.0647573666875332;-0.00747247283028214;FALSE;"binary";"all";"perim_area_scaling";"MAT"
"4";0.568;0.0283334577206456;-0.0642864952886428;0.124186365104554;-0.050563264829494;0.110872764869212;FALSE;"binary";"Goat";"perim_area_scaling";"Herbivores"
"5";0;0.227354755391684;0.0980704842767574;0.344210727034405;0.126750578972705;0.327182340595099;FALSE;"binary";"Horse";"perim_area_scaling";"Herbivores"
"6";0;0.150521951374735;0.0768941783663064;0.223074614979951;0.0880602422354431;0.213200632865136;FALSE;"binary";"Sheep";"perim_area_scaling";"Herbivores"
"7";0.504;0.0309173636576277;-0.0571822911819854;0.112760650891848;-0.0428196180293562;0.0994438774144154;FALSE;"binary";"grazed";"fmax_psd";"Grazing"
"8";0;-0.120534923870508;-0.148723170686274;-0.0949983688637061;-0.143482699280615;-0.0974369086279285;FALSE;"binary";"all";"fmax_psd";"Aridity"
"9";0;0.112936647976938;0.0842936444754532;0.143600961539806;0.0895395108741333;0.137855148412922;FALSE;"binary";"all";"fmax_psd";"MAT"
"10";0.88;-0.00555099791134125;-0.0899251120220292;0.0725999202550666;-0.0762015203329129;0.0601596872341024;FALSE;"binary";"Goat";"fmax_psd";"Herbivores"
"11";0;-0.186521775242991;-0.28531127037768;-0.0904242982341995;-0.265167642571946;-0.109045759962043;FALSE;"binary";"Horse";"fmax_psd";"Herbivores"
"12";0.042;0.0756887552156845;0.00405954485187709;0.140007711081354;0.0167610727183563;0.130399048699296;FALSE;"binary";"Sheep";"fmax_psd";"Herbivores"
"13";0.048;0.144782853896651;0.000733515839987462;0.291311102189744;0.0193605355614769;0.265720682537376;FALSE;"binary";"grazed";"PL_expo";"Grazing"
"14";0;-0.209021050647323;-0.250519269526077;-0.171688875869624;-0.243113465292244;-0.175957172309508;FALSE;"binary";"all";"PL_expo";"Aridity"
"15";0.006;0.06036605574426;0.0130772837969411;0.104111815111673;0.020885457068478;0.0978449718247305;FALSE;"binary";"all";"PL_expo";"MAT"
