"pval";"q2";"q1";"q3";"q1_90";"q3_90";"With_cover";"Grazing_intensity";"ID_grazing";"Stat";"Driver"
"1";0;-0.345040066262664;-0.473696427296334;-0.228821095292809;-0.454867810908969;-0.250330637315788;FALSE;"binary";"grazed";"perim_area_scaling";"Grazing"
"2";0.002;-0.066545367915668;-0.104867941769087;-0.0279958583938113;-0.0985943371944832;-0.034844735509481;FALSE;"binary";"all";"perim_area_scaling";"Aridity"
"3";0.686;0.00900212059631204;-0.0313006153537881;0.0482124439435272;-0.0256754340735243;0.0411567811438475;FALSE;"binary";"all";"perim_area_scaling";"MAT"
"4";0.556;-0.0350477029657734;-0.145646170402144;0.081798658721682;-0.128126694935866;0.0648722833355001;FALSE;"binary";"Goat";"perim_area_scaling";"Herbivores"
"5";0;0.318977069572465;0.181556867485928;0.444685458442942;0.205655784094014;0.420948859397024;FALSE;"binary";"Horse";"perim_area_scaling";"Herbivores"
"6";0.004;-0.134094642407701;-0.237095674109394;-0.035691028661337;-0.216395930614756;-0.0542349954965191;FALSE;"binary";"Sheep";"perim_area_scaling";"Herbivores"
"7";0.008;-0.214849673076466;-0.352472657625009;-0.0712436929612153;-0.333652550407133;-0.0889624257206245;FALSE;"binary";"grazed";"fmax_psd";"Grazing"
"8";0;-0.283197772534295;-0.317587989909308;-0.248415088181237;-0.311013977540977;-0.253879183553417;FALSE;"binary";"all";"fmax_psd";"Aridity"
"9";0;0.173396883747991;0.133706529326928;0.216251559004053;0.139218346236347;0.207680024407794;FALSE;"binary";"all";"fmax_psd";"MAT"
"10";0.828;0.0161281137660511;-0.118435099312791;0.1576755756143;-0.0989162113850797;0.119504842046824;FALSE;"binary";"Goat";"fmax_psd";"Herbivores"
"11";0.796;0.0161101146487382;-0.106864180003028;0.136817236700255;-0.0890098450721118;0.117614849684651;FALSE;"binary";"Horse";"fmax_psd";"Herbivores"
"12";0;-0.307392301166117;-0.41270961246624;-0.205915963156131;-0.393975737505325;-0.220520989988785;FALSE;"binary";"Sheep";"fmax_psd";"Herbivores"
"13";0.418;-0.0576980444675347;-0.209687201633701;0.087312356930667;-0.186430524955845;0.0648794032554361;FALSE;"binary";"grazed";"PL_expo";"Grazing"
"14";0;-0.349431820251644;-0.388489166404712;-0.309730385619439;-0.382193829428754;-0.315890612299194;FALSE;"binary";"all";"PL_expo";"Aridity"
"15";0;0.0973236377221989;0.052023362353647;0.14275859719161;0.0587425812814783;0.135731277184232;FALSE;"binary";"all";"PL_expo";"MAT"
"16";0;0.380789832971279;0.229369201349845;0.537210520608271;0.249713987445861;0.512595232857428;FALSE;"binary";"Goat";"PL_expo";"Herbivores"
"17";0.148;0.0989739307375594;-0.0303971590488042;0.245322160984435;-0.0163387572233679;0.225484732758147;FALSE;"binary";"Horse";"PL_expo";"Herbivores"
"18";0.022;0.157945681248377;0.0235411979682887;0.295324478572592;0.0417107026564333;0.269943667183791;FALSE;"binary";"Sheep";"PL_expo";"Herbivores"
"19";0;-0.163787366993579;-0.26428308305704;-0.0662703592283303;-0.24925951683747;-0.0798293334088007;FALSE;"binary";"grazed";"core_area_land";"Grazing"
"20";0;-0.156557066430382;-0.187207589535911;-0.130070792348719;-0.182222042300944;-0.133878467486622;FALSE;"binary";"all";"core_area_land";"Aridity"
"21";0;0.119031066826471;0.0833560142943991;0.155838853734605;0.0896042355741711;0.149568164608916;FALSE;"binary";"all";"core_area_land";"MAT"
"22";0.042;-0.110973324616873;-0.223955626907004;-0.00644268219374759;-0.207901098662521;-0.02515707884775;FALSE;"binary";"Goat";"core_area_land";"Herbivores"
"23";0.012;0.134119279841195;0.0194559032279663;0.243790855413723;0.0385257804375209;0.222519350149873;FALSE;"binary";"Horse";"core_area_land";"Herbivores"
"24";0;-0.410038542803783;-0.491473566888021;-0.338420945253235;-0.481643242203809;-0.346982561737712;FALSE;"binary";"Sheep";"core_area_land";"Herbivores"
"25";0.094;0.0748078427013439;-0.0112742434569046;0.159744049168044;0.00153164715118506;0.15002327504413;FALSE;"binary";"grazed";"core_area";"Grazing"
"26";0.016;0.0420869714697825;0.00757856657726772;0.0755042079781489;0.0129035550374285;0.0691800263794692;FALSE;"binary";"all";"core_area";"Aridity"
"27";0;0.113979914290607;0.0821778002304588;0.14590908390013;0.0873763685606578;0.140061744124727;FALSE;"binary";"all";"core_area";"MAT"
"28";0;-0.228735924079634;-0.317359298542119;-0.139210795117259;-0.300576851985151;-0.155486098520099;FALSE;"binary";"Goat";"core_area";"Herbivores"
"29";0;-0.544837160885528;-0.670511797205644;-0.420872957545322;-0.648234147372757;-0.44254885189416;FALSE;"binary";"Horse";"core_area";"Herbivores"
"30";0;-0.299959378807865;-0.381357674128277;-0.223972109732733;-0.370855339141979;-0.237666461774851;FALSE;"binary";"Sheep";"core_area";"Herbivores"
"31";0;-0.18202293962531;-0.265766862544169;-0.102104724864535;-0.252743401429329;-0.115169416416822;FALSE;"binary";"grazed";"Small_patches";"Grazing"
"32";0;-0.129891218498645;-0.159940558271246;-0.0999423795890175;-0.153037047587003;-0.105208046963633;FALSE;"binary";"all";"Small_patches";"Aridity"
"33";0;-0.272773987097275;-0.304107334236164;-0.242916556584454;-0.298631545317507;-0.246212507568891;FALSE;"binary";"all";"Small_patches";"MAT"
"34";0;0.279332327863204;0.169628189245577;0.382348879998877;0.186617318215241;0.367079787972046;FALSE;"binary";"Goat";"Small_patches";"Herbivores"
"35";0;0.3546652149247;0.251025514719059;0.45896901261819;0.271623495849853;0.444178311144218;FALSE;"binary";"Horse";"Small_patches";"Herbivores"
"36";0.014;0.0994659080418163;0.0222637171906919;0.176634698637217;0.0327867431269663;0.166783214899216;FALSE;"binary";"Sheep";"Small_patches";"Herbivores"
"37";0;0.416193845845891;0.300396050294339;0.523131313373573;0.317992063203417;0.509575979764091;FALSE;"binary";"grazed";"flow_length";"Grazing"
"38";0;0.070267707951106;0.0372803644687821;0.104519059323666;0.0416364965403406;0.100387773375638;FALSE;"binary";"all";"flow_length";"Aridity"
"39";0;0.0709543957244095;0.0299173047714136;0.110410652597533;0.0365450266137436;0.1041786101255;FALSE;"binary";"all";"flow_length";"MAT"
"40";0.088;0.0965520469055898;-0.0170054236878159;0.205545315613564;0.00594342802743715;0.18800034167556;FALSE;"binary";"Goat";"flow_length";"Herbivores"
"41";0.014;-0.161435518757408;-0.280124228631791;-0.0328036789268813;-0.261895106794767;-0.0507471987613294;FALSE;"binary";"Horse";"flow_length";"Herbivores"
"42";0;0.413863677948859;0.31796188422271;0.512835419437433;0.333247989739271;0.492729044380404;FALSE;"binary";"Sheep";"flow_length";"Herbivores"
"43";0.03;-0.101029551219082;-0.196190552556195;-0.0113978480028304;-0.177775337202727;-0.0264557140470071;FALSE;"binary";"grazed";"mean_psd";"Grazing"
"44";0;-0.207954785785114;-0.237406516321851;-0.175849016033459;-0.232344650868199;-0.181092791533695;FALSE;"binary";"all";"mean_psd";"Aridity"
"45";0;0.337556719260007;0.309309400678289;0.368592686514905;0.313284401361906;0.362961834218111;FALSE;"binary";"all";"mean_psd";"MAT"
"46";0;-0.162705828422675;-0.257846951362947;-0.0705409444474042;-0.244237658478876;-0.0848047981003121;FALSE;"binary";"Goat";"mean_psd";"Herbivores"
"47";0.002;-0.160896089770926;-0.278830102172568;-0.05315652098607;-0.256696654246854;-0.064947219298836;FALSE;"binary";"Horse";"mean_psd";"Herbivores"
"48";0;-0.382417040483213;-0.465341524293497;-0.302698581115414;-0.447969473516459;-0.317051212225022;FALSE;"binary";"Sheep";"mean_psd";"Herbivores"
"49";0.006;0.0234122481170593;0.00524966513985662;0.0408239941066651;0.0087029223964667;0.0381957798091954;FALSE;"binary";"grazed";"moran_I";"Grazing"
"50";0;-0.0320325917801036;-0.0371009231655146;-0.0271287783344068;-0.0363919425103838;-0.0277355601791064;FALSE;"binary";"all";"moran_I";"Aridity"
"51";0;0.0264515378507751;0.020207817542216;0.0324054181459052;0.0213935664513371;0.0313686677422656;FALSE;"binary";"all";"moran_I";"MAT"
"52";0.112;0.0127767743119941;-0.00224422340198801;0.0275028325312267;-0.000216114326508027;0.0258858590240465;FALSE;"binary";"Goat";"moran_I";"Herbivores"
"53";0.04;-0.0218698535966435;-0.0412994548362011;-0.00116860760615141;-0.0379692444845082;-0.00472646360895278;FALSE;"binary";"Horse";"moran_I";"Herbivores"
"54";0;0.0214399414159767;0.00821351875767615;0.0354976403335206;0.0102134846355106;0.0337318651868876;FALSE;"binary";"Sheep";"moran_I";"Herbivores"
"55";0;-0.277104100728109;-0.381607714276449;-0.17023767429753;-0.369304523826552;-0.187541342101927;FALSE;"binary";"grazed";"rho_p";"Grazing"
"56";0;-0.185769987314933;-0.215795316918316;-0.155586917792148;-0.21168433987473;-0.159765949988937;FALSE;"binary";"all";"rho_p";"Aridity"
"57";0;0.103785632454279;0.0608846464756603;0.144514238135742;0.0667233830977957;0.138712800221674;FALSE;"binary";"all";"rho_p";"MAT"
"58";0.312;-0.0568569438883826;-0.176281779826339;0.0600154624985316;-0.148774025854647;0.0431659022377137;FALSE;"binary";"Goat";"rho_p";"Herbivores"
"59";0.004;0.179536257243554;0.063305827396693;0.289629954061834;0.0798377567083791;0.27612584477018;FALSE;"binary";"Horse";"rho_p";"Herbivores"
"60";0;-0.47007113778779;-0.552801131479802;-0.384425195168306;-0.53926741141638;-0.398791439861448;FALSE;"binary";"Sheep";"rho_p";"Herbivores"
"61";0;-0.256534987036857;-0.392210873425765;-0.137398955916223;-0.365441474629272;-0.154369841187711;FALSE;"all";"1";"perim_area_scaling";"Grazing"
"62";0;-0.2526083560146;-0.382889010286337;-0.118422723425004;-0.361997405338973;-0.144958986686313;FALSE;"all";"2";"perim_area_scaling";"Grazing"
"63";0;-0.566311660203271;-0.694279676666384;-0.438412617371102;-0.67220152823561;-0.455204350401647;FALSE;"all";"3";"perim_area_scaling";"Grazing"
"64";0.002;0.0520713882659854;0.019691191542963;0.0867309745719189;0.0246590429278405;0.0823135542106968;FALSE;"all";"all";"perim_area_scaling";"Aridity"
"65";0.242;0.0233182496209265;-0.0160921466868101;0.0637280558058551;-0.0104020278618728;0.0573342154684839;FALSE;"all";"all";"perim_area_scaling";"MAT"
"66";0.63;0.0262181520594511;-0.0909651473478422;0.13408549455966;-0.0695044879437808;0.116710955145285;FALSE;"all";"Goat";"perim_area_scaling";"Herbivores"
"67";0;0.2263189052334;0.100300121896292;0.350604804897339;0.117105983702868;0.327180969049134;FALSE;"all";"Horse";"perim_area_scaling";"Herbivores"
"68";0.324;-0.0433309694282971;-0.13541966704282;0.0486609920115499;-0.116770603508516;0.034607025778758;FALSE;"all";"Sheep";"perim_area_scaling";"Herbivores"
"69";0.278;-0.0844802375171456;-0.229275244050953;0.0686100596746326;-0.206585785489847;0.0466976264477101;FALSE;"all";"1";"fmax_psd";"Grazing"
"70";0.18;-0.108068996221707;-0.254486782621523;0.0386957212526102;-0.227864522305484;0.0196548504619352;FALSE;"all";"2";"fmax_psd";"Grazing"
