"rho_p";"nb_neigh";"clustering";"skewness";"variance";"moran_I";"Spectral_ratio";"PLR";"PL_expo";"cv_psd";"fmax_psd";"cutoff";"slope_tpl";"flow_length";"perim_area_scaling";"mean_perim_area";"mean_psd";"median_psd";"Small_patches";"sd_psd";"KS_dist";"core_area";"core_area_land";"division";"fractal_dim";"contig";"Shape_metric";"Cond_H";"Shannon_H";"Joint_H";"mutual_inf";"relat_mutual_inf";"Full_name";"Resolution";"Site_ID";"Sub_id";"Grazing";"Aridity";"Slope";"Elevation";"Sp_richness";"Lattitude";"Longitude";"Type_veg";"Herbivores";"Sand";"Long_sin";"Long_cos";"Org_C_v";"ID";"MAT"
"1";0.0415178883987958;3.04215851602024;4.29419820048975;4.26898480991832;0.0234498519430397;0.525072016433541;5.54816523348542;0.513608397890473;0.592356478882537;2.6309771251991;-4.49174339861765;0.0259398485955733;0.592356478882537;14.6129210665201;1.19453174914075;355.683252746388;0.000478732336149216;0.000236809699725301;4;0.00123617222939719;0.881346400682375;17.9868664352183;1.84237946386284;0.999846885155905;0.952464239323223;0.517894375842773;0.0235596050014209;0.112531256784833;0.251769683705282;0.364300940490115;0.139238426920449;0.553038892019421;"biodesert_50_1_1";0.243315484364077;1;1;3;0.8319;1.4662;850;17;35.26746;3.22381;"2";"Sheep";79.78;-0.0821247503879507;-0.996622057438885;6.45434;1;15.5
"11";0.0610282620364536;2.94990439770555;3.87819097230086;3.36061413996546;0.0310441007803951;0.410707466099404;4.89473398646205;0.352255890551785;0.626394626743921;1.41923580766162;-5.45234175584376;0.0283480795193972;0.626394626743921;10.1655007842885;1.19723427837343;393.634966044838;0.000415608969652122;0.000189447759780241;21;0.000582022143459945;0.74617511099094;18.1069809135727;2.38467367623378;0.999924128141697;0.953947519486209;0.477833881502802;0.0224161836702388;0.168334679377363;0.335133449140489;0.503468128517852;0.166798769763126;0.497708510418497;"biodesert_50_1_2";0.243315484364077;1;2;3;0.8319;1.4662;850;17;35.26746;3.22381;"2";"Sheep";79.78;-0.0821247503879507;-0.996622057438885;6.45434;1;15.5
"12";0.0376904945272935;2.96222910216718;4.36428941084769;4.44972407601268;0.0193917234125928;0.354139136923712;4.67114404537584;0.134295330990045;-0.0306256721695924;0.88537143457818;-6.33824065886747;0.0589417040863238;-0.0306256721695924;14.1782165035348;1.15873420945679;326.156863414679;0.000427620299651946;0.000306350889595852;6;0.000376386411179814;0.86995994190261;23.400232928545;1.41628372805467;0.999971258865974;0.958644131662072;0.560104052903937;0.0228531938470337;0.110037798181083;0.233492599468478;0.343530397649561;0.123454801287395;0.528731109972767;"biodesert_50_1_3";0.242721306470172;1;3;3;0.8319;1.4662;850;17;35.26746;3.22381;"2";"Sheep";79.78;-0.0821247503879507;-0.996622057438885;6.45434;1;15.5
"13";0.290492127310707;3.46137787056367;2.47784554182121;0.964770865820432;0.13359824636808;0.586035256116142;5.67772963754724;0.198554290585879;NA;2.22783411629387;-3.23122600162123;NA;NA;3.72130745797402;1.27519860977779;316.930443638549;0.00203208695628947;0.000436805206718064;15;0.00469951737267398;0.681022135569052;30.5929197053333;17.9461419180117;0.996378222573712;0.899509446149651;0.590866294286518;0.0590296670868691;0.371297229237193;0.858964047585875;1.23026127682307;0.487666818348682;0.567738335171621;"biodesert_50_100_1";0.233667821575325;30;1;3;0.7483;1.8543;1184;3;38.56636;109.59864;"2";"Sheep";96.67;0.349561349208476;-0.936913476869422;1.418774;100;7.9
"14";0.336313200512118;3.49749549188539;2.34175954741766;0.737156630728338;0.147591388572189;0.628939534317194;5.74180258463612;0.684369572217107;NA;3.88365145052546;-2.8589193119908;NA;NA;2.83300457891693;1.30969721226455;334.857555777085;0.00206971024056632;0.000349444165374451;17;0.00839975693014204;0.651132580061083;26.9906462561339;21.713586825955;0.988245896435956;0.908326457146077;0.569864196998082;0.0560660908394484;0.394668066700289;0.911823401905516;1.3064914686058;0.517155335205228;0.567166113662452;"biodesert_50_100_2";0.233667821575325;30;2;3;0.7483;1.8543;1184;3;38.56636;109.59864;"2";"Sheep";96.67;0.349561349208476;-0.936913476869422;1.418774;100;7.9
"15";0.348967604129583;3.62318286151492;2.34012906897374;0.666272999289926;0.167919156325696;0.687592568700549;6.53948784748803;0.65261838190742;0.856976441775233;2.7831900238146;-2.7550920466324;0.00162273872677455;0.856976441775233;3.15369450498411;1.25789908193341;266.975097680413;0.00362688165876418;0.000597774106599426;7;0.00991893136737257;0.713027588069476;38.3271771696306;25.015216068168;0.989613675015962;0.889175042060195;0.654123292943858;0.0750501344008939;0.331756734833344;0.925430131010017;1.25718686584336;0.593673396176672;0.64151077027148;"biodesert_50_100_3";0.23311606679924;30;3;3;0.7483;1.8543;1184;3;38.56636;109.59864;"2";"Sheep";96.67;0.349561349208476;-0.936913476869422;1.418774;100;7.9
"16";0.328008187967248;3.44335911002578;2.35116418800091;0.761192761144066;0.137723169196777;0.545488520811655;5.770899789454;0.444288103259869;NA;2.43735760997217;-3.6968232783504;NA;NA;2.32325865982853;1.31517796521536;297.229467367918;0.0019903751280607;0.000413007564559604;10;0.00513127387812914;0.698089689942829;31.5470812721718;20.1025997739327;0.995149388044806;0.895234790772812;0.613116979896999;0.0600553368030109;0.418870916067468;0.904858414377311;1.32372933044478;0.485987498309842;0.537086786825407;"biodesert_50_101_1";0.23311606679924;30;1;2;0.7483;4.8233;1183;7;38.56655;109.59841;"2";"Sheep";94.33;0.34977683006036;-0.936833052978451;2.577819;101;7.9
"17";0.286606320612745;3.51065830721003;2.50544928185716;0.978154330776963;0.140787135976165;0.655153000543847;6.13667503636276;0.679124120702772;NA;3.51781424042239;-2.99221656863717;NA;NA;4.25490120914171;1.30346734270692;319.709351164102;0.00221922692290969;0.000326101134831949;11;0.00779432478518095;0.715977417194273;28.1060945443304;18.7116831166572;0.991851193124825;0.90957750153415;0.586156182480879;0.058681855732858;0.341606622699778;0.85218261031289;1.19378923301267;0.510575987613112;0.599139176784712;"biodesert_50_101_2";0.233131270186258;30;2;2;0.7483;4.8233;1183;7;38.56655;109.59841;"2";"Sheep";94.33;0.34977683006036;-0.936833052978451;2.577819;101;7.9
"18";0.313879494482022;3.54689161409229;2.42481776052965;0.845677813728501;0.151206718280841;0.677683684563648;6.55988588870587;0.595634510644052;NA;5.04396938756525;-2.24419807250242;NA;NA;3.62706049444811;1.25495852237797;327.769954336357;0.00200423037951232;0.000391270324319624;15;0.010543276049245;0.645334781643365;27.7507902912471;21.3764020519955;0.982488986452345;0.916416367482996;0.578516981173473;0.0493139130271707;0.348011372695021;0.889053788219793;1.23706516091481;0.541042415524773;0.608559822469386;"biodesert_50_101_3";0.23311606679924;30;3;2;0.7483;4.8233;1183;7;38.56655;109.59841;"2";"Sheep";94.33;0.34977683006036;-0.936833052978451;2.577819;101;7.9
"19";0.48608521821163;3.62876022364955;2.01026237809381;0.118341049120326;0.168551366368591;0.597921136045687;5.7845164454924;0.669408143679438;NA;4.12355135445692;-1.67003113936913;NA;NA;1.31331690918423;1.34094713414587;291.677920976597;0.00556053028152096;0.000524166248061677;8;0.0221054034743096;0.601373573214053;34.7884884850105;34.8723436783366;0.956325338281995;0.856869119725378;0.624786460937711;0.112967076449904;0.422753059081175;0.997859339687518;1.42061239876869;0.575106280606343;0.576340028832559;"biodesert_50_102_1";0.233667821575325;30;1;1;0.7477;6.0011;1182;6;38.56694;109.5961;"2";"Sheep";88.44;0.351939979266451;-0.936022569703279;2.510074;102;7.9
