"rho_p";"nb_neigh";"clustering";"skewness";"variance";"moran_I";"Spectral_ratio";"PLR";"PL_expo";"cv_psd";"fmax_psd";"cutoff";"slope_tpl";"flow_length";"perim_area_scaling";"mean_perim_area";"mean_psd";"median_psd";"Small_patches";"sd_psd";"KS_dist";"core_area";"core_area_land";"division";"fractal_dim";"contig";"Shape_metric";"Cond_H";"Shannon_H";"Joint_H";"mutual_inf";"relat_mutual_inf"
"1";0.55;3.28872727272727;1.78833764349286;-0.242916241982073;0.120530348557692;0.599583203490182;4.34421573899366;0.917249206308118;1.83154271546937;9.05463629549735;-0.834019739441361;1.49011611938477e-08;1.83060026338391;1.4486;1.49624740252629;322.236098686188;0.00859375;1e-04;82;0.0593869871775943;NA;3.66543923428789;29.44;0.77308414;0.840190140867746;0.174704262519193;0.16265625;0.711916013144969;0.993248870886225;1.70516488403119;0.281332857741256;0.283245081859733
"2";0.55;2.62945454545455;1.56461342826996;-0.315043607476803;0.0374849759615385;0.1811957247829;1.74585187867036;1;1.71009567942431;5.48664574941597;-2.10866440035674;5.77511918411653e-05;1.70804174606713;0.56335;1.69116725852009;333.511330513576;0.0101851851851852;2e-04;115;0.0726837331140815;NA;0.67955755156354;11.1;0.71440312;0.777398423366088;0.140578426480373;0.355925925925926;0.951426450742825;0.992818251719614;1.94424470246244;0.0413918009767893;0.0416912168013596
"3";0.55;2.43563636363636;1.48804506344915;-0.391400929402819;0.0232496995192308;0.0203340962125292;0.64044826067525;1;1.71452516849995;6.96511384018311;-1.66706702527074;8.08044515336875e-05;1.71222492068227;0.467;1.77201221847439;320.88203713918;0.022;2e-04;138;0.108729335201377;NA;0.522154807869094;7.1;0.70417036;0.530034945033333;0.161344640558926;0.8714;0.980247960964462;0.992605322944321;1.97285328390878;0.0123573619798591;0.0124494214308705
"4";0.35;3.51828571428571;2.30779598249233;0.580004807756811;0.171561999198718;0.845944622831982;6.1366624004612;1;1.72373173274822;4.18816535229709;-1.84516024595517;1.49011611938477e-08;1.72215868776895;7.16995;1.38225053335751;312.40678396058;0.00945945945945946;1e-04;32;0.0321409781661585;NA;6.97090902215679;22.89;0.95949966;0.870881231876701;0.195724693307998;0.127432432432432;0.410663049849982;0.932319503105878;1.34298255295586;0.521656453255896;0.559525411104325
"5";0.35;2.28457142857143;1.87600057264146;0.191324014894503;0.051357171474359;0.316118661628473;2.53485778696079;1;1.4488756106481;2.27339235057597;-4.12893600699172;0.00740968023325563;1.4488756106481;1.562;1.60845156894642;299.251988633119;0.00202312138728324;3e-04;163;0.00609440627745758;NA;2.4704646706983;4.2;0.99290352;0.873118659913025;0.226507949913379;0.0878901734104046;0.852036521027501;0.9342483471524;1.7862848681799;0.0822118261248992;0.0879978288165901
"6";0.35;1.95771428571429;1.72159973646518;0.094296526008262;0.0334910857371795;0.175097352024922;1.62872616338116;1;1.28743666664146;1.63385929741205;-4.93367425296013;0.0306087872904941;1.28743666664146;1.23965;1.68072946344467;300.583432016425;0.00175;3e-04;251;0.00522579608515469;NA;1.40638316582576;2.11;0.99395302;0.865336241842398;0.222781611953154;0.090225;0.901567697825884;0.934135695117545;1.83570339294343;0.0325679972916615;0.0348643108938936
"7";0.17;3.08588235294118;2.89879447231439;1.69909726733105;0.0893429487179487;0.737850628269807;5.12779648168779;1;1.66166269232828;3.48345316379696;-2.89137225822975;0.000147243402907607;1.65679709018833;10.92155;1.42136313783291;276.670756788791;0.00377777777777778;3e-04;40;0.00993698072145588;NA;8.55878478131724;8.16;0.99501306;0.867045054214144;0.279957805481492;0.0884444444444445;0.358344584576038;0.65857055194491;1.01691513652095;0.300225967368872;0.455875177659
"8";0.1699;2.28369629193643;2.59834056124964;1.21085799190403;0.0531252403846154;0.500305573812129;3.73759672981517;1;1.33014567255282;1.96798675968919;-4.51899248974704;0.0142267617285485;1.33014567255282;7.7224;1.57726118129875;273.007527088413;0.00161809523809524;5e-04;82;0.0034233862271256;NA;3.71515431958815;2;0.99850625;0.874045078284602;0.284314281261914;0.0715238095238095;0.520244465851643;0.653295593379786;1.17354005923143;0.133051127528144;0.203661449543554
"9";0.17;1.71294117647059;2.31016872120414;0.910825830696632;0.0316130809294872;0.324678217821781;2.56703346036324;0.401948878019289;0.961605376141696;1.33809365220392;-5.36019277026612;0.117948589331603;0.961605376141696;4.03185;1.62383848289672;297.286684355305;0.000702479338842975;3e-04;169;0.00106505900017098;NA;1.163289229756;0.65;0.9996072;0.909612725814718;0.224568438831857;0.0407851239669422;0.597359948331403;0.654808258176504;1.25216820650791;0.0574483098451011;0.0877330258556633
