"Dev_MaxLS";"CWM_MaxLS";"Aridity";"Woody";"Grazing";"Lattitude";"Long_cos";"Long_sin";"Elevation";"MAT";"Site_ID"
"\"44\"";0.124715814749992;11.1184420040148;0.8057;0.9763;3;-34.78926;0.970887476973096;0.239536024549162;87;17.1;"\"14\""
"\"45\"";0.0542012216384475;7.64603477200546;0.8074;0.4802;2;-34.71686;0.967058191734629;0.25455540418335;88;17.1;"\"14\""
"\"46\"";0.102701105554593;8.03508209685286;0.8069;0.8531;1;-34.69379;0.959205502352357;0.282709752673944;89;17.1;"\"14\""
"\"47\"";0.0458539563575819;10.1114515366877;0.8058;0.9992;0;-34.78923;0.964482820165694;0.26414558411079;87;17.1;"\"14\""
"\"48\"";0.051563530928076;9.48859460972546;0.7601;0.4327;3;-31.48905;-0.91083876633489;0.412762330817063;168;19;"\"15\""
"\"49\"";0.121769104339406;8.7737962855601;0.761;0.8562;2;-31.51075;-0.905064603934889;0.425274103025547;170;19;"\"15\""
"\"50\"";0.0951177572611198;10.255107120085;0.7601;0.962;1;-31.49073;-0.911604928259098;0.411067457692439;169;19;"\"15\""
"\"51\"";0.014760598715354;7.38922553956117;0.9239;0.0045;3;-23.43513;0.93555706419711;0.353175564883648;128;24.1;"\"16\""
"\"52\"";0.023196028160659;9.95148358972171;0.9232;0.0035;2;-23.41908;0.937707913532121;0.347424623334669;134;24.1;"\"16\""
"\"53\"";0.125582207181062;9.81811883026277;0.9233;0;1;-23.41018;0.940847551126223;0.338830172121357;134;24.1;"\"16\""
"\"54\"";-0.039248558789893;11.4456651145302;0.9214;4e-04;0;-23.35654;0.950928508971826;0.309410683113268;154;24;"\"16\""
"\"55\"";-0.025417385534904;10.0024214683981;0.9255;0;3;-23.43435;0.997742040288981;0.0671626461657224;168;23.8;"\"17\""
"\"56\"";0.0512792191618696;10.3958687859448;0.9255;0.0498;2;-23.41146;0.998387129591418;0.0567727000080911;175;23.8;"\"17\""
"\"57\"";-0.026008743002754;10.9973415359456;0.9251;0;1;-23.38997;0.998939276441435;0.0460469541084108;176;23.8;"\"17\""
"\"58\"";0.076448274213522;10.5428657294803;0.9235;0.0627;0;-23.36312;0.9993965142749;0.0347362527509849;193;23.7;"\"17\""
"\"59\"";-0.106481932476862;10.1416745619022;0.9303;0;3;-23.58481;0.988333056394565;0.152308140418616;138;23.9;"\"18\""
"\"60\"";-0.011131154785939;10.6012855392967;0.9314;0;2;-23.62158;0.985049840686574;0.172269589200634;129;24;"\"18\""
"\"61\"";0.060321070307855;10.1446193608851;0.9317;0;1;-23.65176;0.982336370267847;0.187123637333695;126;24;"\"18\""
"\"62\"";0.00945966362731209;9.83267257467916;0.9327;0;0;-23.68172;0.97898901495672;0.203912992705396;121;24;"\"18\""
"\"63\"";0.193855886669488;11.990663196725;0.8852;0.9611;3;-25.72055;-0.953822498072558;-0.300370841079197;1006;21.7;"\"19\""
"\"64\"";0.113158799032432;12.7518199728938;0.8855;0.9968;2;-25.69008;-0.957712814432269;-0.287725850545659;1008;21.7;"\"19\""
"\"65\"";-0.080738024172336;11.5645521140746;0.886;0.424;1;-25.60113;-0.962283475474006;-0.272048732453706;1006;21.7;"\"19\""
"\"66\"";0.204518157208223;11.1258664748934;0.8862;0.619;0;-25.55868;-0.968255543389554;-0.249962402563665;1006;21.7;"\"19\""
"\"67\"";0.098505301039371;12.3431689882201;0.876;0.7615;3;-24.25235;-0.991454141728875;0.13045568154994;1115;21.3;"\"20\""
"\"68\"";0.056587112124393;11.7500362797243;0.8756;0.6449;2;-24.264;-0.991631935526697;0.129097267374554;1114;21.3;"\"20\""
"\"69\"";0.123863375619088;10.9538480049992;0.8759;0.4295;1;-24.29197;-0.991291614495362;0.131684984076316;1113;21.3;"\"20\""
"\"70\"";0.12990444077608;10.4874909487171;0.8768;0.346;0;-24.35892;-0.991707930316495;0.128512182097159;1113;21.3;"\"20\""
"\"71\"";0.0802609471028968;10.6279958344515;0.5143;0.9548;3;-10.85045;0.79362800522916;0.608403311394657;450;25.1;"\"21\""
"\"72\"";0.187106224133481;11.5830494953572;0.5115;0.9782047;2;-10.86147;0.803451020470348;0.59537085728574;448;25.1;"\"21\""
"\"73\"";0.0960272690733072;12.0553102936063;0.5042;0.9345238;1;-10.84101;0.809335091251646;0.587347180182803;462;25;"\"21\""
"\"74\"";0.248057050933508;13.420257751424;0.7302;0.8685;3;-9.62727;-0.8777524615005;0.479114408393041;444;25.8;"\"22\""
"\"75\"";0.126242526385226;12.3507436230027;0.7273;0.9298;2;-9.64365;-0.87818809211858;0.478315455386012;409;25.9;"\"22\""
