"pval";"q2";"q1";"q3";"q1_90";"q3_90";"With_cover";"Grazing_intensity";"ID_grazing";"Stat";"Driver"
"41";0;-0.183376946099499;-0.283101151347601;-0.0803037176831388;-0.265462061456867;-0.100512561841099;FALSE;"all";"3";"Small_patches";"Grazing"
"42";0;-0.218203280316855;-0.246899217984401;-0.188422252676622;-0.242043185420856;-0.194706567829669;FALSE;"all";"all";"Small_patches";"Aridity"
"43";0;0.132797895017938;0.0684716978001129;0.199166134181058;0.0774396277805105;0.186023604675633;FALSE;"all";"1";"flow_length";"Grazing"
"44";0;0.130872663838898;0.0686695807741425;0.197723498747963;0.0777421298731436;0.187820213858808;FALSE;"all";"2";"flow_length";"Grazing"
"45";0;0.184720102987731;0.119789660699083;0.249872518025872;0.130944723179994;0.239375612020823;FALSE;"all";"3";"flow_length";"Grazing"
"46";0;-0.0671132045216099;-0.0870241767951489;-0.0473748411609027;-0.0834450473646047;-0.0507982042518593;FALSE;"all";"all";"flow_length";"Aridity"
"47";0;0.0781738245090929;0.0243085166087333;0.129343871794501;0.0326447134118006;0.123272229046577;FALSE;"all";"1";"mean_psd";"Grazing"
"48";0.012;0.0685578370662258;0.0147501264788016;0.124978308968361;0.022269331109852;0.116728525357167;FALSE;"all";"2";"mean_psd";"Grazing"
"49";0.104;0.0463951616712385;-0.00968867824577763;0.0997071459616263;-0.000819743627476485;0.091890933251196;FALSE;"all";"3";"mean_psd";"Grazing"
"50";0.146;-0.0144016249065175;-0.035925187984157;0.00551423504955767;-0.0328110056288677;0.00165794649271626;FALSE;"all";"all";"mean_psd";"Aridity"
"51";0.002;0.0352404002259164;0.0154360633667871;0.0545372203992617;0.0180596076489549;0.0522010135386941;FALSE;"all";"1";"moran_I";"Grazing"
"52";0.002;0.0304606916588739;0.0102760167065221;0.0500675151231359;0.0128049757116546;0.0466511930552576;FALSE;"all";"2";"moran_I";"Grazing"
"53";0.002;0.0310521391046006;0.010597203860703;0.0507133094774925;0.0137455770126874;0.0474403631161252;FALSE;"all";"3";"moran_I";"Grazing"
"54";0;-0.0284940576833229;-0.0331183610607895;-0.0231934612333116;-0.0326024200152733;-0.0241416795477855;FALSE;"all";"all";"moran_I";"Aridity"
